Source IP          Destination IP     Flow Size
100.110.116.224    107.70.29.38       1            
100.110.116.224    192.67.161.91      1            
100.110.116.224    220.80.71.131      1            
100.110.116.224    220.82.138.84      1            
100.110.116.224    6.74.63.37         1            
100.110.116.224    6.96.22.116        1            
100.110.117.127    109.209.224.29     11           
100.110.117.139    129.1.41.96        1            
100.110.117.167    50.224.90.231      13           
100.110.117.245    159.137.249.142    1            
100.110.118.194    109.209.239.221    33           
100.110.118.194    50.224.90.231      10           
100.110.12.154     192.64.202.122     1            
100.110.12.74      50.224.90.224      60           
100.110.12.74      50.224.90.231      176          
100.110.12.78      50.224.76.230      7            
100.110.120.46     92.168.239.72      1            
100.110.122.235    102.80.50.150      1            
100.110.122.91     50.224.90.231      7            
100.110.123.100    50.224.76.235      8            
100.110.123.39     192.67.146.9       3            
100.110.123.39     220.83.104.141     4            
100.110.123.39     80.41.26.193       1            
100.110.123.7      50.224.90.227      14           
100.110.125.222    102.82.109.38      5            
100.110.125.222    108.167.65.236     38           
100.110.126.104    92.168.239.72      13           
100.110.126.161    50.224.61.152      4949         
100.110.126.200    50.224.112.82      1            
100.110.127.16     50.224.90.234      9            
100.110.127.174    220.80.126.166     1            
100.110.127.202    89.183.104.189     13           
100.110.127.202    92.27.27.160       4            
100.110.127.219    132.175.153.50     8            
100.110.14.102     108.149.126.28     1            
100.110.14.112     50.224.90.224      12           
100.110.14.149     89.164.36.201      1            
100.110.14.197     56.126.115.241     1            
100.110.14.93      108.151.193.43     7            
100.110.14.93      6.228.92.66        1            
100.110.15.29      50.224.90.231      20           
100.110.17.131     50.224.90.227      4            
100.110.18.28      6.96.29.60         67           
100.110.19.119     50.224.90.226      14           
100.110.19.144     91.251.24.161      1            
100.110.19.220     92.168.239.72      12           
100.110.20.175     109.209.85.232     18           
100.110.20.21      109.209.71.220     9            
100.110.20.73      192.67.181.237     2            
100.110.20.73      6.75.90.72         1            
100.110.20.73      91.251.2.189       1            
100.110.20.77      80.41.218.109      1            
100.110.21.167     50.224.90.224      3            
100.110.21.244     220.83.133.120     1            
100.110.23.4       220.82.178.199     1            
100.110.24.166     80.41.18.35        1            
100.110.24.166     91.251.12.243      1            
100.110.24.83      247.136.239.74     1            
100.110.25.148     92.168.239.72      1            
100.110.25.197     50.224.90.224      6            
100.110.25.252     109.209.228.247    27           
100.110.26.152     220.82.136.20      1            
100.110.26.194     192.173.212.227    6            
100.110.26.49      50.224.90.231      38           
100.110.28.132     80.41.246.249      1            
100.110.28.179     50.224.76.232      5            
100.110.28.93      50.224.76.232      7            
100.110.28.94      109.209.228.250    36           
100.110.29.106     109.209.236.208    1            
100.110.29.106     220.83.145.79      1            
100.110.29.27      109.209.210.15     1            
100.110.30.208     50.224.90.231      14           
100.110.30.83      50.224.90.224      7            
100.110.31.215     50.224.90.231      7            
100.110.31.227     50.224.90.226      9            
